onset	duration	angle	correct	rt
4	1	112.5	1	561
8	1	157.5	1	515
12	1	292.5	0	567
16	1	202.5	1	623
20	1	202.5	1	576
24	1	112.5	1	650
28	1	337.5	1	474
32	1	157.5	1	694
36	1	337.5	1	488
40	1	247.5	1	554
44	1	292.5	1	492
48	1	157.5	1	653
52	1	247.5	1	572
56	1	337.5	1	429
60	1	157.5	0	574
64	1	247.5	1	505
68	1	247.5	1	576
72	1	202.5	1	460
76	1	202.5	1	325
80	1	157.5	1	681
84	1	247.5	1	305
88	1	337.5	1	557
92	1	112.5	1	378
96	1	22.5	1	304
100	1	157.5	1	424
104	1	292.5	1	405
108	1	112.5	1	437
112	1	337.5	0	551
116	1	157.5	1	532
120	1	22.5	1	521
124	1	67.5	1	323
128	1	202.5	1	331
132	1	247.5	1	459
136	1	22.5	1	467
140	1	247.5	1	681
144	1	292.5	0	439
148	1	67.5	0	385
152	1	112.5	1	663
156	1	112.5	1	332
160	1	67.5	1	451
164	1	22.5	1	434
168	1	157.5	1	684
172	1	202.5	1	478
176	1	202.5	0	512
180	1	67.5	1	670
184	1	202.5	1	425
188	1	22.5	0	497
192	1	67.5	1	520
196	1	337.5	0	571
200	1	112.5	1	412
204	1	157.5	1	314
208	1	67.5	0	405
212	1	22.5	1	311
216	1	292.5	1	404
220	1	292.5	1	565
224	1	67.5	1	306
228	1	292.5	1	314
232	1	247.5	1	669
236	1	67.5	0	659
240	1	292.5	1	522
244	1	22.5	1	562
248	1	22.5	1	637
252	1	67.5	1	408
256	1	157.5	1	427
260	1	112.5	1	596
264	1	247.5	1	531
268	1	22.5	1	652
272	1	157.5	1	378
276	1	337.5	1	456
280	1	202.5	1	342
284	1	247.5	1	513
288	1	22.5	1	551
292	1	292.5	1	352
296	1	202.5	1	643
300	1	292.5	1	426
304	1	337.5	1	416
308	1	22.5	1	539
312	1	112.5	1	465
316	1	112.5	1	486
320	1	112.5	1	528
324	1	67.5	1	460
328	1	112.5	1	465
332	1	337.5	1	592
336	1	22.5	1	638
340	1	292.5	0	345
344	1	247.5	1	404
348	1	292.5	0	591
352	1	337.5	1	582
356	1	247.5	1	465
360	1	337.5	1	673
364	1	337.5	1	572
368	1	67.5	1	418
372	1	202.5	1	620
376	1	202.5	1	550
380	1	157.5	1	463
384	1	67.5	1	653
